@id,@lat,@lon,surveillance:type,operator,direction
13717686711,41.9775935,-87.7683262,ALPR,,345
13721128712,41.8853344,-87.7208263,ALPR,,350
13721128713,41.8848667,-87.7134399,ALPR,,250
13724437702,41.7413140,-87.6317452,ALPR,,93
13730905809,41.8761506,-87.6872761,ALPR,,215
13738748697,41.9942886,-87.7138537,ALPR,,135
13741665101,41.7932638,-87.7232437,ALPR,,253
13741665301,41.8698171,-87.7252837,ALPR,,0
13741665401,41.8708675,-87.7278344,ALPR,,22
13741666201,41.8703110,-87.7351801,ALPR,,233
13741666901,41.8832786,-87.7380909,ALPR,,16
13742754904,41.9612292,-87.6983084,ALPR,,90
13743571260,41.9943975,-87.7141745,ALPR,,180
13751550597,41.8761924,-87.6861710,ALPR,,0
13758408501,41.8520081,-87.6855993,ALPR,,0
13759091101,41.8369604,-87.7243254,ALPR,,0
13759092001,41.8424690,-87.7244795,ALPR,,0
13765109482,41.8760068,-87.6863869,ALPR,,180
13775814796,41.9251723,-87.6779895,ALPR,,180
13775839490,41.9251084,-87.6777402,ALPR,,270
13775858817,41.9249348,-87.6777427,ALPR,,0
13775912273,41.9249584,-87.6780553,ALPR,,90
13778338557,41.9686946,-87.6790223,ALPR,,280
13778338558,41.9688804,-87.6790965,ALPR,,190
13778535864,41.9686469,-87.6793130,ALPR,,0
13778536087,41.9688515,-87.6793706,ALPR,,100
